"Notes","Year","Year Code","Age Groups","Age Groups Code",Count
,"1999","1999","15-19 years","15-19",16
,"1999","1999","20-24 years","20-24",122
,"1999","1999","25-29 years","25-29",780
,"1999","1999","30-34 years","30-34",2791
,"1999","1999","35-39 years","35-39",7061
,"1999","1999","40-44 years","40-44",13413
,"1999","1999","45-49 years","45-49",18867
,"1999","1999","50-54 years","50-54",22226
,"1999","1999","55-59 years","55-59",21605
,"1999","1999","60-64 years ","60-64",20652
,"1999","1999","65-69 years","65-69",21395
,"1999","1999","70-74 years","70-74",22974
,"1999","1999","75-79 years","75-79",20911
,"1999","1999","80-84 years","80-84",14028
,"1999","1999","85+ years","85+",11744
,"2000","2000","20-24 years","20-24",121
,"2000","2000","25-29 years","25-29",792
,"2000","2000","30-34 years","30-34",2711
,"2000","2000","35-39 years","35-39",6929
,"2000","2000","40-44 years","40-44",13387
,"2000","2000","45-49 years","45-49",19421
,"2000","2000","50-54 years","50-54",22613
,"2000","2000","55-59 years","55-59",22357
,"2000","2000","60-64 years ","60-64",21144
,"2000","2000","65-69 years","65-69",21386
,"2000","2000","70-74 years","70-74",21980
,"2000","2000","75-79 years","75-79",20330
,"2000","2000","80-84 years","80-84",13938
,"2000","2000","85+ years","85+",11586
,"2001","2001","15-19 years","15-19",22
,"2001","2001","20-24 years","20-24",130
,"2001","2001","25-29 years","25-29",786
,"2001","2001","30-34 years","30-34",2901
,"2001","2001","35-39 years","35-39",6870
,"2001","2001","40-44 years","40-44",13611
,"2001","2001","45-49 years","45-49",19359
,"2001","2001","50-54 years","50-54",23494
,"2001","2001","55-59 years","55-59",23229
,"2001","2001","60-64 years ","60-64",21567
,"2001","2001","65-69 years","65-69",21270
,"2001","2001","70-74 years","70-74",21736
,"2001","2001","75-79 years","75-79",20374
,"2001","2001","80-84 years","80-84",14260
,"2001","2001","85+ years","85+",11741
,"2002","2002","15-19 years","15-19",19
,"2002","2002","20-24 years","20-24",134
,"2002","2002","25-29 years","25-29",805
,"2002","2002","30-34 years","30-34",2741
,"2002","2002","35-39 years","35-39",6541
,"2002","2002","40-44 years","40-44",13527
,"2002","2002","45-49 years","45-49",19485
,"2002","2002","50-54 years","50-54",22996
,"2002","2002","55-59 years","55-59",24290
,"2002","2002","60-64 years ","60-64",22318
,"2002","2002","65-69 years","65-69",21146
,"2002","2002","70-74 years","70-74",20991
,"2002","2002","75-79 years","75-79",19718
,"2002","2002","80-84 years","80-84",14362
,"2002","2002","85+ years","85+",11506
,"2003","2003","15-19 years","15-19",17
,"2003","2003","20-24 years","20-24",140
,"2003","2003","25-29 years","25-29",825
,"2003","2003","30-34 years","30-34",2788
,"2003","2003","35-39 years","35-39",6618
,"2003","2003","40-44 years","40-44",13776
,"2003","2003","45-49 years","45-49",20352
,"2003","2003","50-54 years","50-54",22324
,"2003","2003","55-59 years","55-59",23723
,"2003","2003","60-64 years ","60-64",21797
,"2003","2003","65-69 years","65-69",19893
,"2003","2003","70-74 years","70-74",19334
,"2003","2003","75-79 years","75-79",18838
,"2003","2003","80-84 years","80-84",13879
,"2003","2003","85+ years","85+",11203
,"2004","2004","15-19 years","15-19",17
,"2004","2004","20-24 years","20-24",138
,"2004","2004","25-29 years","25-29",810
,"2004","2004","30-34 years","30-34",2799
,"2004","2004","35-39 years","35-39",6583
,"2004","2004","40-44 years","40-44",13872
,"2004","2004","45-49 years","45-49",20704
,"2004","2004","50-54 years","50-54",22419
,"2004","2004","55-59 years","55-59",23808
,"2004","2004","60-64 years ","60-64",22340
,"2004","2004","65-69 years","65-69",20269
,"2004","2004","70-74 years","70-74",18919
,"2004","2004","75-79 years","75-79",18277
,"2004","2004","80-84 years","80-84",14276
,"2004","2004","85+ years","85+",11418
,"2005","2005","20-24 years","20-24",152
,"2005","2005","25-29 years","25-29",811
,"2005","2005","30-34 years","30-34",2776
,"2005","2005","35-39 years","35-39",6416
,"2005","2005","40-44 years","40-44",13720
,"2005","2005","45-49 years","45-49",20856
,"2005","2005","50-54 years","50-54",22623
,"2005","2005","55-59 years","55-59",24517
,"2005","2005","60-64 years ","60-64",23047
,"2005","2005","65-69 years","65-69",20956
,"2005","2005","70-74 years","70-74",18836
,"2005","2005","75-79 years","75-79",18465
,"2005","2005","80-84 years","80-84",14712
,"2005","2005","85+ years","85+",11909
,"2006","2006","15-19 years","15-19",20
,"2006","2006","20-24 years","20-24",159
,"2006","2006","25-29 years","25-29",847
,"2006","2006","30-34 years","30-34",2617
,"2006","2006","35-39 years","35-39",6477
,"2006","2006","40-44 years","40-44",13856
,"2006","2006","45-49 years","45-49",21400
,"2006","2006","50-54 years","50-54",23248
,"2006","2006","55-59 years","55-59",25750
,"2006","2006","60-64 years ","60-64",23861
,"2006","2006","65-69 years","65-69",22095
,"2006","2006","70-74 years","70-74",19213
,"2006","2006","75-79 years","75-79",18379
,"2006","2006","80-84 years","80-84",14487
,"2006","2006","85+ years","85+",12034
,"2007","2007","15-19 years","15-19",21
,"2007","2007","20-24 years","20-24",167
,"2007","2007","25-29 years","25-29",923
,"2007","2007","30-34 years","30-34",2584
,"2007","2007","35-39 years","35-39",6447
,"2007","2007","40-44 years","40-44",13636
,"2007","2007","45-49 years","45-49",21550
,"2007","2007","50-54 years","50-54",23913
,"2007","2007","55-59 years","55-59",25945
,"2007","2007","60-64 years ","60-64",26347
,"2007","2007","65-69 years","65-69",23882
,"2007","2007","70-74 years","70-74",19943
,"2007","2007","75-79 years","75-79",18118
,"2007","2007","80-84 years","80-84",14857
,"2007","2007","85+ years","85+",12450
,"2008","2008","15-19 years","15-19",16
,"2008","2008","20-24 years","20-24",161
,"2008","2008","25-29 years","25-29",890
,"2008","2008","30-34 years","30-34",2713
,"2008","2008","35-39 years","35-39",6637
,"2008","2008","40-44 years","40-44",13328
,"2008","2008","45-49 years","45-49",22011
,"2008","2008","50-54 years","50-54",24955
,"2008","2008","55-59 years","55-59",26013
,"2008","2008","60-64 years ","60-64",27642
,"2008","2008","65-69 years","65-69",25474
,"2008","2008","70-74 years","70-74",20610
,"2008","2008","75-79 years","75-79",18324
,"2008","2008","80-84 years","80-84",14937
,"2008","2008","85+ years","85+",12970
,"2009","2009","15-19 years","15-19",19
,"2009","2009","20-24 years","20-24",173
,"2009","2009","25-29 years","25-29",960
,"2009","2009","30-34 years","30-34",2726
,"2009","2009","35-39 years","35-39",6444
,"2009","2009","40-44 years","40-44",13297
,"2009","2009","45-49 years","45-49",22039
,"2009","2009","50-54 years","50-54",25315
,"2009","2009","55-59 years","55-59",26850
,"2009","2009","60-64 years ","60-64",29094
,"2009","2009","65-69 years","65-69",26933
,"2009","2009","70-74 years","70-74",21834
